ID,HP,MP,OFFENSE,DEFENSE,SPEED,BRAINS,WEIGHT,HAPPINESS,DISCIPLINE,BATTLES,TECHS,DECODE,CARE,DIGIMEMORY,DIGIMON,EVOITEM,HP_DIV10,MP_DIV10,REINCARNATION,TRIGGER,QUOTA
Andromon,>1700,,>280,>210,,>240,>44,,>80,,>30,>15,<5,,Guardromon,,,,,,5
Gomamon,,,^0,,,,>15,,,,,,,,"Wanyamon, Tunomon",,,,,,2
Ikkakumon,>1000,,>70,,,>60,>26,,>70,,>14,>7,<3,,Gomamon,,,,,,3
Zudomon,>2900,,>230,>220,,>160,>53,,>80,,>30,>15,<3,,Ikkakumon,,,,,,5
Vikemon,>6000,,>420,>440,,>380,>53,,>75,,>30,>15,<5,,,,,,,,6
Seadramon,,,,>80,,>90,>24,>60,,,>14,>7,<10,,Kamemon,,,,,,3
Palmon,,,,,,,>13,,,,,,,,Budmon,,,^0,,,2
Togemon,>1000,,>80,,>60,,>28,,>60,,>14,>7,<5,,Palmon,,,,,,3
Examon (Boss),,,,,,,,,,,,,,,,,,,,,0
Monzaemon (Alternate Color),,,,,,,,,,,,,,,,,,,,,0
Rosemon X-Antibody,,,,,,,,,,,,,,,Rosemon,Crimson X Antibody,,,,,0
Agumon X-Antibody,,,,,,,,,,,,,,,,Unused Item,,,,,0
Greymon X-Antibody,,,,,,,,,,,,,,,,Unused Item,,,,,3
Seadramon X-Antibody,,,,,,,,,,,,,,,,Unused Item,,,,,0
Gomamon X-Antibody,,,,,,,,,,,,,,,,Unused Item,,,,,0
Omegamon X-Antibody,,,,,,,,,,,,,,,Omegamon,Ultimate X Antibody,,,,,0
Dukemon X-Antibody,,,,,,,,,,,,,,,Dukemon,Supreme X Antibody,,,,,0
Lilimon,,>2400,>190,,>220,>250,<30,,,<40,>30,>15,<10,,Togemon,,,,,,5
Yggdrasil,,,,,,,,,,,,,,,,,,,,,0
Plotmon,,,,,,^0,>15,,,,,,,,Wanyamon,,,,,,2
Plotmon X-Antibody,,,,,,,,,,,,,,,,Unused Item,,,,,0
Tyranomon,>1000,,>130,>50,,,>25,,<70,,>14,>7,<5,,Guilmon,,,,,,3
MetalTyranomon,>2200,,>340,>210,>160,,>55,,<70,,>40,>16,0,,Tyranomon,,,,,,5
XV-mon,>1200,,,>160,>90,,>23,,,>20,>35,>15,<1,,V-mon,,,,,,3
Death-X-mon,,,,,,,,,,,,,,,,,,,,,0
Kuwagamon,,,>100,>60,,,>22,,,>15,>14,>7,>1,,Tentomon,,,,,,3
Shellmon,,,,,,,,,,,,,,,,,,,,,0
Monochromon,,,,,,,,,,,,,,,,,,,,,0
Yukidarumon,,,,,,,,,,,,,,,,,,,,,0
Mojyamon,,,,,,,,,,,,,,,,,,,,,0
Centalmon,>800,,,,>90,,>27,,>70,,>14,>7,<5,,,,,,,,3
Drimogemon,,,,,,,,,,,,,,,,,,,,,0
Digitamamon,>2700,>2100,>180,>190,>210,>230,>32,,<40,,>49,>18,<10,,Orgemon,,,,,,5
Nanimon,,,,,,,,,,,,,,,,,,,,,0
TonosamaGekomon,,,,,,,,,,,,,,,,,,,,,0
Wizarmon,,,,,,,,,,,,,,,,,,,,,0
Delumon,,,,,,,,,,,,,,,,,,,,,0
Jyureimon,,>2300,,>290,,>280,>52,,>80,,>40,>16,<10,,Woodmon,,,,,,5
Gerbemon,,,,,,,,,,,,,,,,,,,,,0
WaruMonzaemon,>3000,>2500,>250,>200,>200,>250,>50,,,>40,>49,>18,>3,,,,,,,,5
Magnamon,>6200,,>550,>800,>550,,>42,,>80,,>50,>18,<5,,,,,,,5191,6
RustTyranomon,>5600,>3600,>680,>420,>400,,>65,,,>50,>40,>16,0,,,,,,,5192,7
Agumon,,,,,,,,,,,,,,,,,,,,,0
Mugendramon,>6200,>4200,>750,>580,>420,>500,>65,,,>55,>55,>20,>3,,,,,,,5194,8
Bubbmon,,,,,,,,,,,,,,,,,,,,,6
Mochimon,,,,,,,,,,,,,,,Bubbmon,,,,,,0
Betamon,,,,^0,,,<12,,,,,,,,"Budmon, Tunomon",,,,,,2
Lucemon,>2500,>2500,>250,>250,>250,>250,>14,,,,,,,,,,,,,,2
Renamon,,,,,^0,,>13,,,,,,,,Wanyamon,,,,,,2
Wormmon,,,,,,^0,>14,,,,,,,,Budmon,,,,,,2
Woodmon,>800,,,>80,,,>24,,>60,,>14,>7,<5,,,,,,,,3
Orgemon,,,>100,,,>60,>22,,,>15,>14,>7,>1,,Goburimon,,,,,,3
Kiwimon,,>900,>90,,>160,,>19,,,>20,>28,>12,<3,,Renamon,,,,,,3
DORUgamon,>1800,>1300,>160,>160,>150,,>24,,,>30,>35,>15,<5,,DORUmon,,,,,,3
V-dramon,,,>160,,>150,,>22,>80,,,>35,>15,<5,,V-mon,,,,,,3
Clockmon,,,,,,,,,,,,,,,,,,,,,6
Gekomon,,,,,,,,,,,,,,,,,,,,,6
AeroV-dramon,>2400,,>340,>240,>340,,>46,,,>35,>49,>18,<5,,V-dramon,,,,,,5
Okuwamon,>2500,,>320,,>180,>80,>48,,,>25,>30,>15,<15,,Kuwagamon,,,,,,5
Gigadramon,>2300,>1700,>250,>250,>220,>180,>60,,,>35,>49,>18,<10,,,,,,,,5
GrappuLeomon,>1600,,>280,>140,>320,,>44,,,>35,>30,>15,<5,,Leomon,,,,,,5
SkullGreymon,>2800,,>380,>220,>210,,>55,,<40,,>40,>16,>6,,,,,,,,5
Taomon,,>2100,>150,,>190,>350,>33,,>90,,>40,>16,0,,Kiwimon,,,,,,5
DeathMeramon,>2500,,>380,>140,,>120,>52,,,>25,>30,>15,>2,,,,,,,,5
DORUguremon,>3200,>1700,>300,>320,>270,>210,>55,,,>40,>49,>18,<10,,,,,,,,5
Paildramon,,,,,,,,,,,,,,"XV-mon, Stingmon","Stingmon, XV-mon",,,,,,1
Panjyamon,>2300,,>260,>200,>210,,>46,,,>30,>30,>15,<5,,Leomon,,,,,,5
Piccolomon,,>2100,>260,,>380,>270,<30,>95,,,>49,>18,<5,,,,,,,,5
Vademon,,>2300,>210,>150,,>260,>38,,<60,,>30,>15,<15,,,,,,,,5
Mamemon,>1800,>1400,>210,,>310,,>20,>80,,,>30,>15,<10,,,,,,,,5
MetalMamemon,>1600,,>310,>220,,>210,>35,,,>35,>40,>16,<10,,,,,,,,5
Parrotmon,,,,,,,,,,,,,,,,,,,,,6
MasterTyranomon,,,,,,,,,,,,,,,,,,,,,6
Alphamon,>6700,>3700,>570,>620,>530,>520,>48,,,>60,>55,>20,<1,,,,,,,5224,8
UlforceV-dramon,>5700,>4600,>600,>470,>680,>500,<50,,,>60,>55,>20,<1,,,,,,,,8
UlforceV-dramon X-Antibody,,,,,,,,,,,,,,,UlforceV-dramon,Swiftness X-Antibody,,,,,0
Imperialdramon FM,>7200,>4600,>680,>570,>630,>540,>50,,,>60,>55,>20,<1,,,,,,,,8
Imperialdramon PM,,,,,,,,,,,,,,,Imperialdramon FM,Omega Blade,,,,,0
Ofanimon,>5800,>3700,,>490,,>560,<45,,>95,,>50,>18,0,,,,,,,,6
Chaosdramon,,,,,,,,,,,,,,,Mugendramon,Crimson Metal,,,,,0
GranKuwagamon,>4500,>3200,>580,>480,,,>52,,<55,,>40,>16,<10,,,,,,,,6
SaberLeomon,>4500,,>590,>390,>640,,>50,,,>45,>50,>18,<10,,,,,,,,6
Sakuyamon,,>3900,>340,,>490,>680,<40,,>90,,>50,>18,0,,,,,,,,6
HiAndromon,>4300,,>540,>480,,>420,>62,,,>40,>40,>16,<5,,,,,,,,6
Piemon,>5900,>4100,>450,>420,>450,>520,>46,,<45,,>55,>20,>3,,,,,,,,8
Pinochimon,>5200,>4000,,,>420,>480,>42,>75,,,>40,>16,<10,,,,,,,,6
PrinceMamemon,>5300,,,>350,>550,>420,<35,>100,,,>40,>16,<3,,,,,,,,6
Beelzebumon X-Antibody,,,,,,,,,,,,,,,Beelzebumon,Gluttony X-Antibody,,,,,0
Boltmon,>4800,,>600,>420,,>320,>58,,,>35,>40,>16,<15,,,,,,,,6
Magnamon X-Antibody,,,,,,,,,,,,,,,Magnamon,Miracle X-Antibody,,,,,0
MetalGarurumon X-Antibody,,,,,,,,,,,,,,,,,,,,,6
MetalSeadramon,,>4500,>350,,>450,>580,>49,>80,,,>40,>16,<10,,,,,,,,6
Lucemon Satan Mode,,,,,,,,,,,,,,,,,,,,,6
Punimon,,,,,,,,,,,,,,,,,,,,,0
Tunomon,,,,,,,,,,,,,,,Punimon,,,,,,0
Belphemon: Rage Mode,,,,,,,,,,,,,,,,,,,,,0
Titamon,>6000,>3200,>700,>400,>400,,>62,,,>50,>40,>16,>2,,,,,,,,7
