Name,Level,Attribute,Special 1,Special 2,Special 3,Move#1,Move#2,Move#3,Move#4,Move#5,Move#6,Move#7,Move#8,Move#9,Move#10,Move#11,Move#12,Move#13,Move#14,Move#15,Move#16,Sleeping Schedule,Favourite Food,Energy Capacity,Training Type,Liked Areas,Energy Usage Mod,Disliked Areas,Base Weight,Gain HP,Gain MP,Gain Offense,Gain Defense,Gain Speed,Gain Brains,Evolve From 1,Evolve From 2,Evolve From 3,Evolve From 4,Evolve From 5,Evolve To 1,Evolve To 2,Evolve To 3,Evolve To 4,Evolve To 5,Evolve To 6
Airdramon,Adult,Vaccine,Air,Combat,None,Electric Shoot,Wind Shoes,Air Cutter,Electric Cloud,Thunderstorm,Earth Coat,Mach Jab,Spin Attack,,,,,,,,,04:00-18:00,Sirloin,75,+SPD -HP,Powdery Cliffs,1.6,"Flourescent Cave, Night Canyon",30,1400,1800,150,140,230,210,Tentomon,Piyomon,Patamon,Impmon,,Megadramon,MegaSeadramon,Garudamon,,,
Garurumon,Adult,Vaccine,Ice,Fire,Combat,Bubble Breath,Hailstone,Splash,Waterfall,Heavy Rain,Fire Tower,Fire Wall,Mach Jab,,,,,,,,,04:00-18:00,Giant Meat,70,+HP -BRN,"Flourescent Cave, Powdery Cliffs",1.55,"Signpost Forest, Sewer Maze",28,2200,1400,150,180,220,140,Gaomon,Gabumon,Renamon,DORUmon,,WereGarurumon,Panjyamon,MetalMamemon,,,
Bakemon,Adult,Virus,Darkness,Air,None,Dark Spirit,Electric Shoot,Wind Shoes,Air Cutter,Electric Cloud,Mach Jab,Loose Cloud,Dark Spirit,,,,,,,,,16:00-06:00,Happy Mushroom,70,+MP -DEF,"Sewer Maze, Flourescent Cave",1.55,"Binary Castle, Night Canyon",20,1500,2500,150,120,170,210,Candmon,PicoDevimon,Impmon,Tyumon,,DeathMeramon,WaruMonzaemon,BlueMeramon,,,
BlackTailmon,Adult,Virus,Combat,Darkness,None,Earth Coat,Mach Jab,Muscle Charge,Spin Attack,Heavy Impact,War Cry,Dark Spirit,Loose Cloud,,,,,,,,,16:00-06:00,Black Digi Trout,65,+SPD -MP,"Flourescent Cave, Ancient Bone Swamp",1.45,"Bonkeno Volcano, Binary Castle",14,1800,2000,140,150,210,170,Gabumon,PicoDevimon,Plotmon,Renamon,,LadyDevimon,WaruMonzaemon,HolyAngemon,,,
GeoGreymon,Adult,Vaccine,Combat,Fire,None,Mach Jab,Fire Wall,Mine,Spread Bomb,Fire Tower,Muscle Charge,Spin Attack,Heavy Impact,War Cry,,,,,,,,07:00-22:00,Giant Meat,75,+ATK -MP,"Flourescent Cave, Ancient Bone Swamp",1.75,"Ancient Submerged City, Powdery Cliffs",32,1600,1000,280,125,215,170,Gaomon,Agumon,Guilmon,Candmon,,RizeGreymon,MegaloGrowmon,Gigadramon,,,
Sunflowmon,Adult,Data,Nature,None,None,Poison Powder,Air Cutter,Earth Coat,Poison Circle,Roots Bind,Rock Fall,Mach Jab,Spin Attack,,,,,,,,,01:00-15:00,Digi Trout,70,+MP -BRN,"Railroad Plains, Signpost Forest",1.5,"Bonkeno Volcano, Sand and Gravel Wilderness",23,1600,2400,130,160,130,230,Tentomon,Lalamon,Palmon,Betamon,,Lilamon,Angewomon,AtlurKabuterimon,,,
Gaogamon,Adult,Data,Combat,Air,None,Mach Jab,Air Cutter,Earth Coat,Wind Shoes,Muscle Charge,Spin Attack,Heavy Impact,War Cry,,,,,,,,,07:00-22:00,Giant Meat,70,+SPD -DEF,"Railroad Plains, Signpost Forest",1.55,"Night Canyon, Ancient Bone Swamp",24,1900,1600,200,100,300,100,Gaomon,Gomamon,V-mon,Goburimon,,MachGaogamon,WereGarurumon,GrappuLeomon,,,
Numemon,Adult,Virus,Filth,None,None,Dirty Kick,Ultra Stink Spray,Poop Trap,Poop Barrier,Poop Fall,Random Poop Toss,,,,,,,,,,,07:00-22:00,Moldy Meat,70,-All stats,"Sewer Maze, Flourescent Cave",1.8,"Powdery Cliffs, Night Canyon",26,3000,1500,150,150,150,150,Tyumon,,,,,Etemon,Monzaemon,,,,
Leomon,Adult,Vaccine,Combat,Air,None,Mach Jab,Air Cutter,Electric Cloud,Electric Shoot,Muscle Charge,Spin Attack,Heavy Impact,War Cry,,,,,,,,,07:00-22:00,Sirloin,70,+ATK -MP,"Railroad Plains, Sand and Gravel Wilderness",1.55,"Flourescent Cave, Night Canyon",28,1900,1000,260,140,180,180,Gaomon,Gabumon,Gomamon,Plotmon,,GrappuLeomon,Panjyamon,Mamemon,,,
Growmon,Adult,Virus,Combat,Fire,None,Mach Jab,Fire Tower,Fire Wall,Spread Bomb,Fire Breath,Muscle Charge,Spin Attack,Heavy Impact,War Cry,,,,,,,,11:00-01:00,Giant Meat,75,+HP -BRN,"Bonkeno Volcano, Ancient Bone Swamp",1.75,"Ancient Submerged City, Powdery Cliffs",29,2300,1300,230,210,130,120,Gabumon,Guilmon,Candmon,Renamon,,MegaloGrowmon,SkullGreymon,BlueMeramon,,,
Angemon,Adult,Vaccine,Light,Air,Combat,Light Soul,Electric Shoot,Wind Shoes,Air Cutter,Spin Attack,Heavy Impact,Flash,,,,,,,,,,04:00-18:00,Wisdom Fruit,70,+BRN -DEF,Powdery Cliffs,1.5,"Sewer Maze, Flourescent Cave",22,1600,1500,200,150,190,200,Agumon,Piyomon,Patamon,Lucemon,,HolyAngemon,Angewomon,Vamdemon,,,
Tailmon,Adult,Vaccine,Combat,Light,None,Mach Jab,Wind Shoes,Muscle Charge,Spin Attack,Heavy Impact,War Cry,Light Soul,Flash,,,,,,,,,07:00-22:00,Digi Salmon,65,+MP -DEF,"Signpost Forest, Flourescent Cave",1.45,"Sand and Gravel Wilderness, Night Canyon",14,1600,2200,140,180,140,210,Kamemon,Patamon,Plotmon,Tyumon,,Angewomon,Monzaemon,Lilimon,,,
Devimon,Adult,Virus,Darkness,Air,Ice,Dark Spirit,Splash,Electric Shoot,Air Cutter,Electric Cloud,Thunderstorm,Hailstone,Loose Cloud,,,,,,,,,16:00-06:00,Deluxe Mushroom,70,+BRN -SPD,"Flourescent Cave, Night Canyon",1.5,"Powdery Cliffs, Binary Castle",23,1400,1600,250,130,120,250,Guilmon,PicoDevimon,Impmon,Lucemon,,Vamdemon,LadyDevimon,DeathMeramon,,,
Kabuterimon,Adult,Vaccine,Nature,Fire,Air,Poison Powder,Fire Wall,Air Cutter,Fire Breath,Earth Coat,Poison Circle,Roots Bind,Rock Fall,,,,,,,,,19:00-09:00,Tough Fruit,70,+DEF -MP,"Signpost Forest, Ancient Bone Swamp",1.6,"Sewer Maze, Powdery Cliffs",29,2000,1300,210,210,160,140,Hagurumon,Tentomon,Kamemon,Wormmon,,AtlurKabuterimon,MetalMamemon,Vademon,,,
Birdramon,Adult,Vaccine,Fire,Air,None,Fire Breath,Fire Tower,Fire Wall,Mine,Spread Bomb,Wind Shoes,Air Cutter,Electric Cloud,,,,,,,,,04:00-18:00,Energy Lemon,70,+SPD -ATK,"Flourescent Cave, Ancient Bone Swamp",1.6,"Flourescent Cave, Powdery Cliffs",24,1500,1700,140,150,250,190,Agumon,Candmon,Piyomon,Patamon,,Garudamon,Megadramon,AtlurKabuterimon,,,
Scumon,Adult,Virus,Filth,None,None,Dirty Kick,Ultra Stink Spray,Poop Trap,Poop Barrier,Random Poop Toss,Poop Fall,Ultimate Poop Hell,,,,,,,,,,04:00-18:00,Moldy Meat,70,-All stats,"Sewer Maze, Flourescent Cave",1.85,"Powdery Cliffs, Binary Castle",30,1500,1500,150,150,150,150,,,,,,,,,,,
Vegimon,Adult,Virus,Nature,Ice,None,Poison Powder,Earth Coat,Poison Circle,Roots Bind,Rock Fall,Hailstone,Splash,Waterfall,,,,,,,,,01:00-15:00,Super Carrot,70,+BRN -ATK,"Signpost Forest, Flourescent Cave",1.55,"Bonkeno Volcano, Sand and Gravel Wilderness",22,1700,1600,160,170,160,230,Lalamon,Palmon,Betamon,Impmon,,Jyureimon,Digitamamon,Piccolomon,,,
Greymon,Adult,Vaccine,Fire,Combat,Air,Fire Breath,Fire Tower,Fire Wall,Mine,Spread Bomb,Air Cutter,Muscle Charge,Spin Attack,,,,,,,,,07:00-22:00,Sirloin,75,+HP -MP,"Flourescent Cave, Ancient Bone Swamp",1.75,"Ancient Submerged City, Powdery Cliffs",30,2500,1000,210,210,140,140,Gabumon,Agumon,PicoDevimon,V-mon,,MetalGreymon,SkullGreymon,MetalTyranomon,,,
Lucemon FM,Perfect,Virus,Darkness,Light,Combat,Loose Cloud,Light Soul,Dark Spirit,Flash,Evil Squall,Holy Sunshine,Judgement,Confuse Storm,Hurricane,Roots Bind,War Cry,Charge Attack,Fighting Aura,Magma Bomb,Ice Statue,,19:00-09:00,Chain Melon,90,+BRN -HP,"Binary Castle, Night Canyon",1.85,"Railroad Plains, Ancient Bone Swamp",44,8000,8000,950,850,820,980,Lucemon,,,,,,,,,,
Monzaemon,Perfect,Vaccine,Combat,Air,None,Mach Jab,Air Cutter,Electric Cloud,Electric Shoot,Muscle Charge,Spin Attack,Heavy Impact,War Cry,Charge Attack,Fighting Aura,,,,,,,04:00-18:00,Divine Chestnut,90,+DEF -MP,"Flourescent Cave, Powdery Cliffs",1.8,"Railroad Plains, Bonkeno Volcano",53,4500,2500,320,450,310,320,Numemon,Kiwimon,Tailmon,,,BanchoLeomon,MetalEtemon,,,,
RizeGreymon,Perfect,Vaccine,Combat,Fire,Machine,Mach Jab,Mine,Spread Bomb,Fire Wall,Muscle Charge,Spin Attack,Heavy Impact,War Cry,Charge Attack,Fighting Aura,Heavy Laser,,,,,,07:00-22:00,Sirloin,90,+ATK -DEF,"Flourescent Cave, Ancient Bone Swamp",1.9,"Ancient Submerged City, Powdery Cliffs",54,3500,2900,450,280,410,320,GeoGreymon,XV-mon,,,,VictoryGreymon,ShineGreymon,,,,
Lilamon,Perfect,Data,Nature,Air,None,Poison Powder,Air Cutter,Wind Shoes,Earth Coat,Poison Circle,Roots Bind,Rock Fall,Land Slide,Poison Storm,Spin Attack,,,,,,,04:00-18:00,Stringy Grass,80,+MP -DEF,"Railroad Plains, Signpost Forest",1.75,"Bonkeno Volcano, Sand and Gravel Wilderness",32,2950,4500,325,285,340,405,Sunflowmon,Woodmon,,,,Rosemon,Lilithmon,,,,
MachGaogamon,Perfect,Data,Combat,Air,Machine,Mach Jab,Electric Cloud,Wind Shoes,Muscle Charge,Spin Attack,Heavy Impact,War Cry,Charge Attack,Fighting Aura,Upgrade,Energy Ball,,,,,,07:00-22:00,Sirloin,90,+SPD -MP,"Railroad Plains, Signpost Forest",1.8,"Night Canyon, Ancient Bone Swamp",35,3500,3000,410,290,450,300,Gaogamon,Togemon,,,,MirageGaogamon,BanchoLeomon,Z'dGarurumon,,,
Vamdemon,Perfect,Virus,Darkness,Air,Combat,Dark Spirit,Electric Cloud,Thunderstorm,Spin Attack,Heavy Impact,War Cry,Fighting Aura,Electric Shoot,Loose Cloud,Evil Squall,,,,,,,19:00-09:00,Wisdom Fruit,90,+BRN -DEF,"Flourescent Cave, Night Canyon",1.75,"Railroad Plains, Sand and Gravel Wilderness",33,3600,2800,380,270,360,450,Angemon,Devimon,,,,Beelzebumon,Barbamon,,,,
Stingmon,Adult,Free,Nature,Combat,None,Poison Powder,Earth Coat,Poison Circle,Roots Bind,Rock Fall,Spin Attack,Heavy Impact,Wind Shoes,Air Cutter,,,,,,,,19:00-09:00,Edible Cactus,70,+SPD -HP,"Signpost Forest, Ancient Bone Swamp",1.55,"Bonkeno Volcano, Powdery Cliffs",24,1200,1300,190,120,340,150,Tentomon,Goburimon,Wormmon,,,Paildramon,Okuwamon,MetalGreymon,,,
HolyAngemon,Perfect,Vaccine,Light,Combat,None,Light Soul,Muscle Charge,Spin Attack,Heavy Impact,War Cry,Charge Attack,Mach Jab,Flash,Holy Sunshine,Judgement,,,,,,,07:00-22:00,Cherry Radish,90,+BRN -MP,"Powdery Cliffs, Binary Castle",1.75,"Sewer Maze, Flourescent Cave",39,3800,2600,355,340,340,425,Angemon,Centalmon,BlackTailmon,,,Seraphimon,Ofanimon,,,,
LadyDevimon,Perfect,Virus,Darkness,Nature,None,Dark Spirit,Earth Coat,Poison Circle,Roots Bind,Rock Fall,Land Slide,Poison Storm,Poison Powder,Loose Cloud,Evil Squall,,,,,,,19:00-09:00,Energy Lemon,80,+SPD -HP,"Flourescent Cave, Night Canyon",1.75,"Sewer Maze, Ancient Bone Swamp",29,2800,3400,340,290,440,410,BlackTailmon,Devimon,Kiwimon,,,Rosemon,Lilithmon,,,,
MegaSeadramon,Perfect,Data,Ice,Air,None,Bubble Breath,Hailstone,Splash,Waterfall,Heavy Rain,Ice Statue,Aurora Freeze,Wind Shoes,Air Cutter,Electric Cloud,Thunderstorm,,,,,,07:00-22:00,Digi Seabass,90,+BRN -MP,"Signpost Forest, Ancient Submerged City",1.85,"Sand and Gravel Wilderness, Night Canyon",39,3200,2900,370,370,300,450,Airdramon,Seadramon,,,,MetalSeadramon,MarinAngemon,,,,
MegaloGrowmon,Perfect,Virus,Combat,Fire,Machine,Mach Jab,Fire Wall,Spread Bomb,Fire Tower,Muscle Charge,Spin Attack,Heavy Impact,War Cry,Charge Attack,Fighting Aura,Energy Ball,,,,,,11:00-01:00,Sirloin,90,+DEF -MP,"Bonkeno Volcano, Ancient Bone Swamp",1.9,"Ancient Submerged City, Powdery Cliffs",56,3700,2800,425,455,285,285,GeoGreymon,Growmon,,,,Dukemon,RustTyranomon,,,,
WereGarurumon,Perfect,Vaccine,Combat,Ice,None,Mach Jab,Splash,Waterfall,Ice Statue,Bubble Breath,Muscle Charge,Spin Attack,Heavy Impact,War Cry,Charge Attack,Fighting Aura,,,,,,07:00-22:00,Quick Fruit,90,+ATK -SPD,"Flourescent Cave, Sand and Gravel Wilderness",1.8,"Ancient Submerged City, Ancient Bone Swamp",47,3900,2900,365,330,425,300,Gaogamon,Garurumon,,,,Z'dGarurumon,MetalGarurumon,MirageGaogamon,,,
Angewomon,Perfect,Vaccine,Light,Air,None,Light Soul,Wind Shoes,Air Cutter,Electric Cloud,Thunderstorm,Confuse Storm,Hurricane,Electric Shoot,Flash,Holy Sunshine,,,,,,,07:00-22:00,Divine Chestnut,80,+BRN -DEF,"Powdery Cliffs, Binary Castle",1.75,"Sewer Maze, Ancient Bone Swamp",32,2900,3500,350,280,380,450,Sunflowmon,Tailmon,Angemon,,,Ofanimon,MarinAngemon,,,,
BlueMeramon,Perfect,Virus,Fire,Combat,None,Fire Breath,Fire Tower,Fire Wall,Mine,Spread Bomb,Magma Bomb,Flame Storm,Muscle Charge,Spin Attack,War Cry,Charge Attack,,,,,,16:00-06:00,Stringy Grass,90,+ATK -DEF,"Bonkeno Volcano, Sand and Gravel Wilderness",1.8,"Ancient Submerged City, Powdery Cliffs",35,3600,3000,480,280,380,300,Growmon,Meramon,Bakemon,,,Boltmon,Piemon,,,,
Megadramon,Perfect,Virus,Machine,Ice,Combat,Mechanical Claw,Heavy Rain,Muscle Charge,Charge Attack,Splash,Upgrade,Energy Ball,Anti-Attack Field,Heavy Laser,Machine Fall,DG Dimension V2,,,,,,16:00-06:00,Smiling Apple,90,+MP -DEF,"Bonkeno Volcano, Night Canyon",1.9,"Ancient Submerged City, Ancient Bone Swamp",54,3500,4200,420,260,340,310,Airdramon,Birdramon,Seadramon,,,Darkdramon,MetalGarurumon,,,,
